Operand;Opis (iz PLC programa);Tip;R/W;wtp(ekran);Modbus_predlog;Napomena
O6;P2 ZAVARIVANJE (pumpa);O;R;-;Coil 6;
O7;P3 KANCELARIJE (pumpa);O;R;-;Coil 7;
O8;T1 SPOLJNA (grejanje zone);O;R;-;Coil 8;
O9;T2 SUDA;O;R;-;Coil 9;
O10;T3 CNC RADIONICA;O;R;-;Coil 10;
O11;T4 ZAVARIVANJE;O;R;-;Coil 11;
O12;T5 MONTAZA 1;O;R;-;Coil 12;
O13;T6 MONTAZA 2;O;R;-;Coil 13;
O14;T7 HIDRAULIKA;O;R;-;Coil 14;
O15;T8 REZERVA;O;R;-;Coil 15;
O16;ALARM;O;R;-;Coil 16;
O17;Izlaz (pumpa/ventil);O;R;-;Coil 17;sa ekrana - proveriti
O18;RESET GRESKE FREKVENTNOG REGULATORA;O;R/W;1 (momentary);Coil 18;dugme reset
MB1;AUTOMATSKI REZIM RADA;MB;R/W;-;Coil(MB) 1;sa ekrana
MB8;Rucna komanda (toggle);MB;R/W;2;Coil(MB) 8;verovatno rucno K/P - potvrditi
MB9;Rucna komanda (toggle);MB;R/W;2;Coil(MB) 9;potvrditi
MB10;Rucna komanda (toggle);MB;R/W;2;Coil(MB) 10;potvrditi
MB11;Rucna komanda (toggle);MB;R/W;2;Coil(MB) 11;potvrditi
MB12;Rucna komanda (toggle);MB;R/W;2;Coil(MB) 12;potvrditi
MB14;REZIM UPRAVLJANJA KALORIFERIMA (glavni);MB;R/W;1 (set);Coil(MB) 14;
MB16;Rezim/rucna komanda kalorifera (toggle);MB;R/W;2;Coil(MB) 16;potvrditi
MB17;Rezim/rucna komanda kalorifera (toggle);MB;R/W;2;Coil(MB) 17;potvrditi
MB18;Rezim/rucna komanda kalorifera (toggle);MB;R/W;2;Coil(MB) 18;potvrditi
MB19;Rezim/rucna komanda kalorifera (toggle);MB;R/W;2;Coil(MB) 19;potvrditi
